name,Type,Crew,Min Speed,Max Speed,Wingspan,Height,Length,Max Payload,Empty Weight,Max Weight,Operator,Commissioned,Propulsion,picture,Nation,Category
Su-24M Fencer D, Attack,2, 350 kt, 750 kt, 17.6 m, 6.2 m, 24.6 m, 8100 kg, 21150 kg, 39570 kg, Frontal Aviation [VVS],1985, 2x AL-21F-3A,https://cmano-db.com/images/DB3000/aircraft_470.jpg,Soviet,aircraft
Su-24MP Fencer F, Electronic Intelligence (ELINT),2, 350 kt, 750 kt, 17.6 m, 6.2 m, 24.6 m, 8100 kg, 21150 kg, 39570 kg, Frontal Aviation [VVS],1990, 2x AL-21F-3A,https://cmano-db.com/images/DB3000/aircraft_619.jpg,Soviet,aircraft
Su-24MR Fencer E, Recon,2, 350 kt, 750 kt, 17.6 m, 6.2 m, 24.6 m, 8100 kg, 22320 kg, 39570 kg, Frontal Aviation [VVS],1988, 2x AL-21F-3A,https://cmano-db.com/images/DB3000/aircraft_472.jpg,Soviet,aircraft
Su-25 Frogfoot A, Attack,1, 270 kt, 520 kt, 14.4 m, 4.8 m, 15.5 m, 4400 kg, 9510 kg, 17530 kg, Frontal Aviation [VVS],1984, 2x R-19S,https://cmano-db.com/images/DB3000/aircraft_307.jpg,Soviet,aircraft
Su-27P Flanker B, Fighter,1, 350 kt, 920 kt, 14.7 m, 5.9 m, 21.9 m, 5220 kg, 16300 kg, 30450 kg, Air Defence Troops [PVO],1987, 2x AL-31F,https://cmano-db.com/images/DB3000/aircraft_2156.jpg,Soviet,aircraft
Su-27S Flanker B, Fighter,1, 350 kt, 920 kt, 14.7 m, 5.9 m, 21.9 m, 8000 kg, 16300 kg, 30450 kg, Frontal Aviation [VVS],1987, 2x AL-31F,https://cmano-db.com/images/DB3000/aircraft_134.jpg,Soviet,aircraft
Tu-123 UAV [DBR-1 Yastreb], Unmanned Aerial Vehicle (UAV),0, 350 kt, 1450 kt, 8.4 m, 4.8 m, 27.8 m, 0 kg, 11450 kg, 35610 kg, Frontal Aviation [VVS],1964, 1x KR-15-300,https://cmano-db.com/images/DB3000/aircraft_2570.jpg,Soviet,aircraft
Tu-126 Moss, Airborne Early Warning (AEW),17, 250 kt, 420 kt, 51.1 m, 15.5 m, 57.3 m, 908 kg, 103000 kg, 171000 kg, Air Defence Troops [PVO],1965, 4x NK-12MV,https://cmano-db.com/images/DB3000/aircraft_217.jpg,Soviet,aircraft
Tu-128 Fiddler A, Attack,1, 350 kt, 920 kt, 18.1 m, 7.0 m, 27.2 m, 6000 kg, 24500 kg, 43700 kg, Air Defence Troops [PVO],1970, 2x AL-7F-2,https://cmano-db.com/images/DB3000/aircraft_2505.jpg,Soviet,aircraft
Tu-128M Fiddler B, Attack,1, 350 kt, 920 kt, 18.1 m, 7.0 m, 27.2 m, 6000 kg, 24500 kg, 43700 kg, Air Defence Troops [PVO],1980, 2x AL-7F-2,https://cmano-db.com/images/DB3000/aircraft_685.jpg,Soviet,aircraft
Tu-141 UAV [VR-2 Strizh], Unmanned Aerial Vehicle (UAV),0, 350 kt, 540 kt, 3.9 m, 2.4 m, 14.3 m, 0 kg, 0 kg, 5370 kg, Frontal Aviation [VVS],1979, 1x KR-17A,https://cmano-db.com/images/DB3000/aircraft_2569.jpg,Soviet,aircraft
Tu-142A Bear F Mod 1, Maritime Patrol Aircraft (MPA),11, 250 kt, 470 kt, 53.1 m, 12.2 m, 49.5 m, 15000 kg, 91800 kg, 155000 kg, Naval Aviation [AV-MF],1972, 4x NK-12MA,https://cmano-db.com/images/DB3000/aircraft_621.jpg,Soviet,aircraft
Tu-142M Bear F Mod 2, Maritime Patrol Aircraft (MPA),11, 250 kt, 470 kt, 53.1 m, 12.2 m, 49.5 m, 15000 kg, 91800 kg, 155000 kg, Naval Aviation [AV-MF],1981, 4x NK-12MA,https://cmano-db.com/images/DB3000/aircraft_1643.jpg,Soviet,aircraft
Tu-142MK Bear F Mod 3, Maritime Patrol Aircraft (MPA),11, 250 kt, 470 kt, 53.1 m, 12.2 m, 49.5 m, 15000 kg, 91800 kg, 155000 kg, Naval Aviation [AV-MF],1983, 4x NK-12MA,https://cmano-db.com/images/DB3000/aircraft_61.jpg,Soviet,aircraft
Tu-142MR Bear J, Airborne Command Post (ACP),11, 250 kt, 470 kt, 53.1 m, 12.2 m, 49.5 m, 15000 kg, 91800 kg, 155000 kg, Naval Aviation [AV-MF],1987, 4x NK-12MA,https://cmano-db.com/images/DB3000/aircraft_477.jpg,Soviet,aircraft
Tu-143 UAV [VR-3 Reys], Unmanned Aerial Vehicle (UAV),0, 350 kt, 510 kt, 2.2 m, 1.5 m, 8.1 m, 0 kg, 0 kg, 1230 kg, Frontal Aviation [VVS],1976, 1x TR3-117,https://cmano-db.com/images/DB3000/aircraft_2568.jpg,Soviet,aircraft
Tu-160 Blackjack, Bomber,4, 350 kt, 920 kt, 50.7 m, 13.1 m, 54.1 m, 45000 kg, 118000 kg, 275000 kg, Long Range Aviation [DA],1989, 4x NK-32,https://cmano-db.com/images/DB3000/aircraft_280.jpg,Soviet,aircraft
Tu-16K-10-26P Badger C Mod, Bomber,8, 300 kt, 520 kt, 33.0 m, 10.4 m, 36.2 m, 13000 kg, 36600 kg, 79000 kg, Naval Aviation [AV-MF],1985, 2x RD-3M,https://cmano-db.com/images/DB3000/aircraft_154.jpg,Soviet,aircraft
Tu-16K-10P Badger C, Bomber,8, 300 kt, 520 kt, 33.0 m, 10.4 m, 36.2 m, 13000 kg, 36600 kg, 79000 kg, Naval Aviation [AV-MF],1985, 2x RD-3M,https://cmano-db.com/images/DB3000/aircraft_2514.jpg,Soviet,aircraft
Tu-16K-26PM Badger G Mod, Bomber,8, 300 kt, 520 kt, 33.0 m, 10.4 m, 34.8 m, 13000 kg, 36600 kg, 79000 kg, Naval Aviation [AV-MF],1985, 2x RD-3M,https://cmano-db.com/images/DB3000/aircraft_155.jpg,Soviet,aircraft
Tu-16N Badger A, Tanker (Air Refueling),8, 300 kt, 550 kt, 33.0 m, 10.4 m, 34.8 m, 0 kg, 36600 kg, 79000 kg, Long Range Aviation [DA],1964, 2x RD-3M,https://cmano-db.com/images/DB3000/aircraft_128.jpg,Soviet,aircraft
Tu-16P Badger H, Electronic Warfare,10, 300 kt, 550 kt, 33.0 m, 10.4 m, 34.8 m, 0 kg, 36600 kg, 79000 kg, Naval Aviation [AV-MF],1963, 2x RD-3M,https://cmano-db.com/images/DB3000/aircraft_127.jpg,Soviet,aircraft
Tu-16P Badger J, Electronic Warfare,10, 300 kt, 550 kt, 33.0 m, 10.4 m, 34.8 m, 0 kg, 36600 kg, 79000 kg, Naval Aviation [AV-MF],1963, 2x RD-3M,https://cmano-db.com/images/DB3000/aircraft_126.jpg,Soviet,aircraft
Tu-16R Badger E, Recon,10, 300 kt, 550 kt, 33.0 m, 10.4 m, 34.8 m, 0 kg, 36600 kg, 79000 kg, Naval Aviation [AV-MF],1962, 2x RD-3M,https://cmano-db.com/images/DB3000/aircraft_1139.jpg,Soviet,aircraft
Tu-16R Badger F, Recon,10, 300 kt, 550 kt, 33.0 m, 10.4 m, 34.8 m, 0 kg, 36600 kg, 79000 kg, Naval Aviation [AV-MF],1979, 2x RD-3M,https://cmano-db.com/images/DB3000/aircraft_2252.jpg,Soviet,aircraft
Tu-16RM-1/2 Badger D, Recon,10, 300 kt, 550 kt, 33.0 m, 10.4 m, 34.8 m, 0 kg, 36600 kg, 79000 kg, Naval Aviation [AV-MF],1967, 2x RD-3M,https://cmano-db.com/images/DB3000/aircraft_1321.jpg,Soviet,aircraft
Tu-16Ye Badger K, Recon,10, 300 kt, 550 kt, 33.0 m, 10.4 m, 34.8 m, 0 kg, 36600 kg, 79000 kg, Naval Aviation [AV-MF],1981, 2x RD-3M,https://cmano-db.com/images/DB3000/aircraft_2288.jpg,Soviet,aircraft
Tu-22KD Blinder B, Bomber,3, 400 kt, 750 kt, 23.6 m, 10.0 m, 41.6 m, 12000 kg, 47300 kg, 94000 kg, Long Range Aviation [DA],1985, 2x RD-7M-2,https://cmano-db.com/images/DB3000/aircraft_1664.jpg,Soviet,aircraft
Tu-22KPD Blinder B, Bomber,3, 400 kt, 750 kt, 23.6 m, 10.0 m, 41.6 m, 12000 kg, 47300 kg, 94000 kg, Long Range Aviation [DA],1985, 2x RD-7M-2,https://cmano-db.com/images/DB3000/aircraft_2675.jpg,Soviet,aircraft
Tu-22M-2 Backfire B, Bomber,4, 400 kt, 920 kt, 34.3 m, 11.1 m, 41.5 m, 24000 kg, 54000 kg, 122000 kg, Long Range Aviation [DA],1985, 2x NK-22,https://cmano-db.com/images/DB3000/aircraft_1666.jpg,Soviet,aircraft
Tu-22MR Backfire C, Recon,4, 400 kt, 920 kt, 34.3 m, 11.1 m, 42.5 m, 0 kg, 54000 kg, 124000 kg, Long Range Aviation [DA],1989, 2x NK-25,https://cmano-db.com/images/DB3000/aircraft_1674.jpg,Soviet,aircraft
Tu-22PD Blinder E, Electronic Warfare,3, 400 kt, 750 kt, 23.6 m, 10.0 m, 41.6 m, 0 kg, 47300 kg, 92000 kg, Naval Aviation [AV-MF],1963, 2x RD-7M-2,https://cmano-db.com/images/DB3000/aircraft_2116.jpg,Soviet,aircraft
Tu-22RD Blinder C, Recon,3, 400 kt, 750 kt, 23.6 m, 10.0 m, 41.6 m, 12000 kg, 47300 kg, 94000 kg, Naval Aviation [AV-MF],1985, 2x RD-7M-2,https://cmano-db.com/images/DB3000/aircraft_1665.jpg,Soviet,aircraft
Tu-22RDK Blinder C, Recon,3, 400 kt, 750 kt, 23.6 m, 10.0 m, 41.6 m, 12000 kg, 47300 kg, 94000 kg, Naval Aviation [AV-MF],1985, 2x RD-7M-2,https://cmano-db.com/images/DB3000/aircraft_2112.jpg,Soviet,aircraft
Tu-22RDM Blinder C, Recon,3, 400 kt, 750 kt, 23.6 m, 10.0 m, 41.6 m, 12000 kg, 47300 kg, 94000 kg, Naval Aviation [AV-MF],1983, 2x RD-7M-2,https://cmano-db.com/images/DB3000/aircraft_2115.jpg,Soviet,aircraft
Tu-243 UAV [VR-3 Reys-D], Unmanned Aerial Vehicle (UAV),0, 350 kt, 510 kt, 2.2 m, 1.5 m, 8.4 m, 0 kg, 0 kg, 1230 kg, Frontal Aviation [VVS],1989, 1x TR3-117,https://cmano-db.com/images/DB3000/aircraft_2571.jpg,Soviet,aircraft
Tu-95K-22 Bear G, Bomber,9, 250 kt, 470 kt, 50.0 m, 12.2 m, 49.1 m, 15000 kg, 79600 kg, 182000 kg, Long Range Aviation [DA],1988, 4x NK-12MV,https://cmano-db.com/images/DB3000/aircraft_771.jpg,Soviet,aircraft
Tu-95KM Bear C, Bomber,9, 250 kt, 470 kt, 50.0 m, 12.2 m, 46.2 m, 15000 kg, 79600 kg, 182000 kg, Long Range Aviation [DA],1969, 4x NK-12MV,https://cmano-db.com/images/DB3000/aircraft_643.jpg,Soviet,aircraft
Tu-95MR Bear E, Recon,9, 250 kt, 470 kt, 50.0 m, 12.2 m, 46.2 m, 0 kg, 79600 kg, 182000 kg, Naval Aviation [AV-MF],1966, 4x NK-12MV,https://cmano-db.com/images/DB3000/aircraft_444.jpg,Soviet,aircraft
Tu-95MS-16 Bear H, Bomber,7, 250 kt, 470 kt, 50.0 m, 12.2 m, 49.1 m, 15000 kg, 94400 kg, 155000 kg, Long Range Aviation [DA],1987, 4x NK-12MP,https://cmano-db.com/images/DB3000/aircraft_62.jpg,Soviet,aircraft
Tu-95MS-6 Bear H, Bomber,7, 250 kt, 470 kt, 50.0 m, 12.2 m, 49.1 m, 15000 kg, 94400 kg, 155000 kg, Long Range Aviation [DA],1984, 4x NK-12MP,https://cmano-db.com/images/DB3000/aircraft_1611.jpg,Soviet,aircraft
Tu-95RT Bear D, Recon,11, 250 kt, 470 kt, 50.0 m, 12.2 m, 46.2 m, 0 kg, 98000 kg, 180850 kg, Naval Aviation [AV-MF],1966, 4x NK-12MV,https://cmano-db.com/images/DB3000/aircraft_129.jpg,Soviet,aircraft
Yak-28P Firebar, Fighter,2, 350 kt, 920 kt, 11.64 m, 4.3 m, 20.55 m, 3000 kg, 9970 kg, 17845 kg, Air Defence Troops [PVO],1965, 2x R-11AF2-300,https://cmano-db.com/images/DB3000/aircraft_2165.jpg,Soviet,aircraft
Yak-28PP Brewer E, Electronic Warfare,2, 350 kt, 920 kt, 11.64 m, 4.3 m, 20.34 m, 0 kg, 9970 kg, 17845 kg, Frontal Aviation [VVS],1971, 2x R-11AF2-300,https://cmano-db.com/images/DB3000/aircraft_2120.jpg,Soviet,aircraft
Yak-28R Brewer D, Recon,2, 350 kt, 920 kt, 11.64 m, 4.3 m, 20.34 m, 0 kg, 9970 kg, 17645 kg, Frontal Aviation [VVS],1967, 2x R-11AF2-300,https://cmano-db.com/images/DB3000/aircraft_2166.jpg,Soviet,aircraft
Yak-38 Forger A, Attack,1, 350 kt, 570 kt, 7.3 m, 4.3 m, 16.4 m, 2000 kg, 7700 kg, 10300 kg, Naval Aviation [AV-MF],1977," 1x R-27V, 2x RD-36-35FVR",https://cmano-db.com/images/DB3000/aircraft_1856.jpg,Soviet,aircraft
Yak-38M Forger A, Attack,1, 350 kt, 570 kt, 7.3 m, 4.3 m, 16.4 m, 2000 kg, 7385 kg, 11300 kg, Naval Aviation [AV-MF],1986," 1x R-28V-300, 2x RD-38",https://cmano-db.com/images/DB3000/aircraft_59.jpg,Soviet,aircraft
